,Primary Template,Template Concentration,template_well,template_origin,rack,amount of template to add,concentration of template (ng/uL),volume of dilute template prepared,water to add
0,aeBlue,33.0,B3,B3,rack4,1.0,12.5,2.64,1.6400000000000001
1,Yukon,33.0,B4,B4,rack4,1.0,12.5,2.64,1.6400000000000001
2,Sample_1_pWL87_8A-ARF19_01,33.0,B5,B5,rack4,1.0,12.5,2.64,1.6400000000000001
3,fuGFP,33.0,B6,B6,rack4,1.0,12.5,2.64,1.6400000000000001
4,tsPurple,33.0,B7,B1,rack5,1.0,12.5,2.64,1.6400000000000001
5,eforCP,30.0,B8,B2,rack5,1.0,12.5,2.4,1.4
