,frag_loc,conc_assumed,Sequence Length,equimolar ratio,inverse of conc,initial required amount,H20 to add to 1uL of fragment,new Conc,new required amount,final amount to add,location_of_assembly
0,F11,45.0,4789,1.0,0.022222222222222223,2.2222222222222223,,,,2.2222222222222223,B9
1,B2,53.0,717,0.14971810398830654,0.018867924528301886,0.28248698865718214,6.079972105997211,7.485905199415327,2.0,2.0,B9
2,D1,41.0,405,0.08456880350803926,0.024390243902439025,0.20626537440985188,8.696246913580245,4.228440175401964,1.9999999999999996,1.9999999999999996,B9
