,ID Number,Name,Assembly Method,Part(s) Bin 0,Assembly Piece ID Number Bin 0,Part(s) Bin 1,Assembly Piece ID Number Bin 1,Part(s) Bin 2,Assembly Piece ID Number Bin 2,Part(s) Bin 3,Assembly Piece ID Number Bin 3,Part(s) Bin 4,Assembly Piece ID Number Bin 4,pcr_frag_tube_x,pcr_frag_tube_y
0,0,pmas00001,SLIC/Gibson/CPEC,(UpstreamAFB_P88Ldegron)_(P88L_cta_2681-2683),0,(DownstreamAFB_P88Ldegron),1,nan,nan,nan,nan,nan,nan,B1,C1
1,1,pmas00002,SLIC/Gibson/CPEC,(UpstreamAFB_GAPPVdegron)_(GAPPV_gcg_2675-2677),2,(DownstreamAFB_GAPPVdegron),3,nan,nan,nan,nan,nan,nan,C2,D1
