,frag_loc,conc_assumed,Sequence Length,equimolar ratio,inverse of conc,initial required amount,H20 to add to 1uL of fragment,new Conc,new required amount,final amount to add,location_of_assembly
0,E11,33.3,5621,1.0,0.030030030030030033,3.0030030030030033,,,,3.0030030030030033,B8
1,E1,17.8,3151,0.5605764098914784,0.056179775280898875,3.1493056735476315,,,,3.1493056735476315,B8
2,D1,122.0,425,0.07560932218466465,0.00819672131147541,0.06197485424972513,31.271152941176467,3.780466109233233,2.0,2.0,B8
