,ID Number,Name,Assembly Method,Part(s) Bin 0,Assembly Piece ID Number Bin 0,Part(s) Bin 1,Assembly Piece ID Number Bin 1,Part(s) Bin 2,Assembly Piece ID Number Bin 2,Part(s) Bin 3,Assembly Piece ID Number Bin 3,Part(s) Bin 4,Assembly Piece ID Number Bin 4,pcr_frag_tube_x,pcr_frag_tube_y,pcr_frag_tube
0,0,pmas00001,Golden-gate,(pIWG),0,(GFP_plus_link),1,(iaa12-prb),2,,,,,A1,A4,A2
1,1,pmas00002,Golden-gate,(pIWG),0,(GFP_plus_link),1,(iaa12-pdar),3,,,,,A1,A4,B2
2,2,pmas00003,Golden-gate,(pIWG),0,(GFP_plus_link),1,(iaa14-prb),4,,,,,A1,A4,C2
3,3,pmas00004,Golden-gate,(pIWG),0,(GFP_plus_link),1,(iaa14-pdar),5,,,,,A1,A4,D2
