,Primary Template,Template Concentration,template_well,template_origin,rack,amount of template to add,concentration of template (ng/uL),volume of dilute template prepared,water to add
0,aeBlue,55.0,B3,B3,deckslot4,1.0,12.5,4.4,3.4000000000000004
1,Yukon,55.0,B4,B4,deckslot4,1.0,12.5,4.4,3.4000000000000004
2,Sample_1_pWL87_8A-ARF19_01,55.0,B5,B5,deckslot4,1.0,12.5,4.4,3.4000000000000004
3,fuGFP,55.0,B6,B6,deckslot4,1.0,12.5,4.4,3.4000000000000004
4,tsPurple,55.0,B7,B1,deckslot5,1.0,12.5,4.4,3.4000000000000004
5,eforCP,55.0,B8,B2,deckslot5,1.0,12.5,4.4,3.4000000000000004
