ID Number,Name,Assembly Method,Part(s) Bin 0,Assembly Piece ID Number Bin 0,Part(s) Bin 1,Assembly Piece ID Number Bin 1,Part(s) Bin 2,Assembly Piece ID Number Bin 2,Part(s) Bin 3,Assembly Piece ID Number Bin 3,Part(s) Bin 4,Assembly Piece ID Number Bin 4
0,pmas00001,SLIC/Gibson/CPEC,(Backbone),0,(ARF7_FL)_(link),1,(eGFP_or_Venus),2,NA,NA,NA,NA
1,pmas00002,SLIC/Gibson/CPEC,(Backbone),0,(ARF7_FL)_(link),1,(mNeonGreen),3,NA,NA,NA,NA
2,pmas00003,SLIC/Gibson/CPEC,(Backbone),0,(ARF7-NOPB1)_(link),4,(eGFP_or_Venus),2,NA,NA,NA,NA
3,pmas00004,SLIC/Gibson/CPEC,(Backbone),0,(ARF7-NOPB1)_(link),4,(mNeonGreen),3,NA,NA,NA,NA
