,frag_loc,conc_assumed,Sequence Length,equimolar ratio,inverse of conc,initial required amount,H20 to add to 1uL of fragment,new Conc,new required amount,final amount to add,location_of_assembly
0,F11,44.0,4789,1.0,0.022727272727272728,2.272727272727273,,,,2.272727272727273,B9
1,B2,44.0,717,0.14971810398830654,0.022727272727272728,0.3402684181552421,4.877712691771269,7.485905199415327,2.0,2.0,B9
2,D1,44.0,405,0.08456880350803926,0.022727272727272728,0.1922018261546347,9.405728395061727,4.228440175401963,2.0,2.0,B9
