,frag_loc,conc_assumed,Sequence Length,equimolar ratio,inverse of conc,initial required amount,H20 to add to 1uL of fragment,new Conc,new required amount,final amount to add,location_of_assembly
0,E11,44.0,5621,1.0,0.022727272727272728,2.272727272727273,,,,2.272727272727273,B8
1,C1,44.0,3151,0.5605764098914784,0.022727272727272728,1.2740372952079055,,,,1.2740372952079055,B8
2,B1,44.0,425,0.07560932218466465,0.022727272727272728,0.17183936860151058,10.638776470588235,3.780466109233233,2.0,2.0,B8
