,Plasmid,Concentration,Buffer,BSA1,Volume of Plasmid,Volume of Water,total volume,Plasmid Location
0,pwl_406,324.0,5.0,1.0,4.62962962962963,39.37037037037037,50.0,A5
1,pwl_407,360.0,5.0,1.0,4.166666666666667,39.833333333333336,50.0,A6
2,pwl_408,343.0,5.0,1.0,4.373177842565598,39.626822157434404,50.0,B1
3,pwl_410,343.0,5.0,1.0,4.373177842565598,39.626822157434404,50.0,B2
4,pwl_411,314.0,5.0,1.0,4.777070063694268,39.22292993630573,50.0,B3
5,pwl_412,315.0,5.0,1.0,4.761904761904762,39.23809523809524,50.0,B4
