,frag_loc,conc_assumed,Sequence Length,equimolar ratio,inverse of conc,initial required amount,H20 to add to 1uL of fragment,new Conc,new required amount,final amount to add,location_of_assembly
0,E1,41.3,763,0.72117202268431,0.02421307506053269,1.7461792316811382,,,,1.7461792316811382,B9
1,D1,34.7,1058,1.0,0.02881844380403458,2.881844380403458,,,,2.881844380403458,B9
2,B1,40.0,720,0.6805293005671077,0.025,1.7013232514177692,,,,1.7013232514177692,B9
3,E2,47.5,1000,0.945179584120983,0.021052631578947368,1.9898517560441746,,,,1.9898517560441746,B9
