,frag_loc,conc_assumed,Sequence Length,equimolar ratio,inverse of conc,initial required amount,H20 to add to 1uL of fragment,new Conc,new required amount,final amount to add,location_of_assembly
0,F11,45.0,4789,1.0,0.022222222222222223,2.2222222222222223,,,,2.2222222222222223,B9
1,C2,40.0,717,0.14971810398830654,0.025,0.37429525997076635,4.343375174337518,7.485905199415327,2.0,2.0,B9
2,E1,35.0,405,0.08456880350803926,0.02857142857142857,0.24162515288011216,7.277283950617283,4.228440175401963,2.0,2.0,B9
