,frag_loc,conc_assumed,Sequence Length,equimolar ratio,inverse of conc,initial required amount,H20 to add to 1uL of fragment,new Conc,new required amount,final amount to add,location_of_assembly
0,E11,35.0,5621,1.0,0.02857142857142857,2.857142857142857,,,,2.857142857142857,B8
1,D1,40.0,3151,0.5605764098914784,0.025,1.4014410247286961,,,,1.4014410247286961,B8
2,C1,45.0,425,0.07560932218466465,0.022222222222222223,0.16802071596592147,10.903294117647057,3.7804661092332332,1.9999999999999998,1.9999999999999998,B8
