,ID Number,Name,Assembly Method,Part(s) Bin 0,Assembly Piece ID Number Bin 0,Part(s) Bin 1,Assembly Piece ID Number Bin 1,Part(s) Bin 2,Assembly Piece ID Number Bin 2,pcr_frag_tube_x,pcr_frag_tube_y,pcr_frag_tube
0,0,pmas00001,Golden-gate,(pGP4G-TPL),0,(IAA14_noPB1),1,(Prb),2,A6,A3,A2
1,2,pmas00003,Golden-gate,(pGP4G-TPL),0,(IAA12_noPB1),5,(Prb),2,A6,B1,A2
2,1,pmas00002,Golden-gate,(pGP4G-TPL),0,(IAA14_noPB1),1,(Pdar),4,A6,A3,A1
3,3,pmas00004,Golden-gate,(pGP4G-TPL),0,(IAA12_noPB1),5,(Pdar),4,A6,B1,A1
