,Primary Template,Template Concentration,template_well,template_origin,rack,amount of template to add,concentration of template (ng/uL),volume of dilute template prepared,water to add
0,aeBlue,34.0,B3,B3,deckslot4,1.0,12.5,2.72,1.7200000000000002
1,Yukon,45.0,B4,B4,deckslot4,1.0,12.5,3.6,2.6
2,Sample_1_pWL87_8A-ARF19_01,56.0,B5,B5,deckslot4,1.0,12.5,4.48,3.4800000000000004
3,fuGFP,47.0,B6,B6,deckslot4,1.0,12.5,3.76,2.76
4,tsPurple,38.0,B7,B1,deckslot5,1.0,12.5,3.04,2.04
5,eforCP,44.0,B8,B2,deckslot5,1.0,12.5,3.52,2.52
