,frag_loc,conc_assumed,Sequence Length,equimolar ratio,inverse of conc,initial required amount,H20 to add to 1uL of fragment,new Conc,new required amount,final amount to add,location_of_assembly
0,F11,11.0,4789,1.0,0.09090909090909091,9.090909090909092,,,,9.090909090909092,B9
1,B2,22.0,717,0.14971810398830654,0.045454545454545456,0.6805368363104842,1.9388563458856347,7.485905199415327,2.0,2.0,B9
2,D1,33.0,405,0.08456880350803926,0.030303030303030304,0.25626910153951293,6.804296296296295,4.228440175401963,2.0,2.0,B9
