,Primary Template,Template Concentration,template_well,template_origin,rack,amount of template to add,concentration of template (ng/uL),volume of dilute template prepared,water to add
0,aeBlue,56.0,B3,B3,deckslot4,1.0,12.5,4.48,3.4800000000000004
1,Yukon,76.0,B4,B4,deckslot4,1.0,12.5,6.08,5.08
2,Sample_1_pWL87_8A-ARF19_01,71.0,B5,B5,deckslot4,1.0,12.5,5.68,4.68
3,fuGFP,92.0,B6,B6,deckslot4,1.0,12.5,7.36,6.36
4,tsPurple,64.0,B7,B1,deckslot5,1.0,12.5,5.12,4.12
5,eforCP,44.0,B8,B2,deckslot5,1.0,12.5,3.52,2.52
